,name,latitude,longitude,capacity,rackType,organisation,isSheltered,qr
23377,310049-2,1.3378,103.853239,5,RACKS,HDB,Y,TPY-00E2
23378,310082-1,1.33601,103.848486,2,RACKS,HDB,Y,TPY-0109
23379,730857-1,1.44032,103.793902,4,RACKS,HDB,Y,WLS-0460
23380,510183-1,1.364875,103.960392,6,RACKS,HDB,Y,PSR-00DC
23381,CHAI CHEE AVENUE BLOCK 34_YB,1.324219,103.926342,6,YELLOWBOX,,Y,BDK-003B
23382,YISHUN RING ROAD BLOCK 860_YB,1.417904,103.839623,13,YELLOWBOX,,Y,YSH-00B8
23383,120707-2,1.305591,103.76248,9,RACKS,HDB,Y,CMT-013D
23384,652441-2,1.356125,103.738662,4,RACKS,HDB,Y,BKB-01D4
23385,760272-3,1.438213,103.839916,10,RACKS,HDB,Y,YSH-06BC
23386,523860_1,1.355173,103.939447,10,RACKS,HDB,Y,TPN-0802
23387,640466-2,1.3498,103.722794,5,RACKS,HDB,Y,JRW-004B
23388,550538-2,1.374914,103.873213,5,RACKS,HDB,Y,SRG-0193
23389,760249-1,1.435071,103.84167,5,RACKS,HDB,Y,YSH-025B
23390,RIVERVALE CRESCENT BLOCK 153_1,1.39131,103.906537,12,RACKS,HDB,Y,SKG-00DA
23391,654291-1,1.343503,103.754974,3,RACKS,HDB,Y,BKB-0214
23392,BEDOK NORTH ROAD BLOCK 706_YB,1.336193,103.918828,16,YELLOWBOX,,Y,BDK-0087
23393,WOODLANDS RING ROAD BLOCK 631_YB,1.43558,103.801413,7,YELLOWBOX,,Y,WLS-01E5
23394,BUS STOP 51111,1.340672,103.832901,16,YELLOWBOX,,N,CWC-0003
23395,550553-1,1.371753,103.871091,8,RACKS,HDB,Y,SRG-01AE
23396,640462-1,1.350635,103.722339,5,RACKS,HDB,Y,JRW-01E0
23397,641685-2,1.343334,103.704125,3,RACKS,HDB,Y,JRW-03FF
23398,140155-2,1.293074,103.804891,4,RACKS,HDB,N,QST-00F5
23399,BUS STOP 17159,1.312013,103.769595,10,YELLOWBOX,,N,CMT-0189
23400,BUS STOP 78091,1.376621,103.956238,13,YELLOWBOX,,N,PSR-003B
23401,343118A-02,1.337002,103.873722,10,RACKS,HDB,Y,TPY-02DD
23402,370020-1,1.330676,103.887546,22,RACKS,HDB,N,GYL-00F6
23403,541225-1,1.387618,103.898814,5,RACKS,HDB,Y,SKG-01AD
23404,460023-1,1.323359,103.933109,4,RACKS,HDB,Y,BDK-0180
23405,410640-3,1.332062,103.904981,6,RACKS,HDB,Y,BDK-010E
23406,520816-2,1.347664,103.93769,10,RACKS,HDB,Y,TPN-0345
23407,142034-1,1.296742,103.798028,7,RACKS,HDB,N,QST-0139
23408,510745-2,1.378457,103.93578,5,RACKS,HDB,Y,PSR-0332
23409,684488-1,1.376386,103.740566,8,RACKS,HDB,Y,
23410,BUS STOP 64391,1.371533,103.889825,10,YELLOWBOX,,N,HOG-0455
23411,461045-1,1.328685,103.924589,4,RACKS,HDB,Y,BDK-01E4
23412,560472-4,1.363101,103.858249,7,RACKS,HDB,Y,AMK-0253
23413,521450-1,1.358385,103.952412,4,RACKS,HDB,Y,TPN-0497
23414,CHAI CHEE ROAD BLOCK 807A_YB,1.327204,103.923342,6,YELLOWBOX,,Y,BDK-045F
23415,400314-2,1.328888,103.903214,10,RACKS,HDB,Y,GYL-0268
23416,600402-3,1.320745,103.749551,5,RACKS,HDB,Y,JRE-0221
23417,753352-1,1.449859,103.820109,9,RACKS,HDB,Y,WLS-0645
23418,BUS STOP 31031,1.365816,103.693189,10,YELLOWBOX,,N,WWC-0010
23419,822676-1,1.404928,103.910268,2,RACKS,HDB,Y,PGL-035B
23420,PUNGGOL CENTRAL BLOCK 266B_2,1.405635,103.897953,3,RACKS,HDB,Y,PGL-01A6
23421,150125-1,1.286274,103.803312,2,RACKS,HDB,Y,BKM-01A2
23422,WOODLANDS AVENUE 1 BLOCK 368_YB,1.433252,103.786784,16,YELLOWBOX,,Y,WLS-009C
23423,ADMIRALTY LINK BLOCK 488_YB,1.455103,103.816531,18,YELLOWBOX,,Y,SBW-0162
23424,570171-2,1.346811,103.853593,6,RACKS,HDB,Y,BIS-00C0
23425,762431-2,1.420502,103.847209,6,RACKS,HDB,Y,YSH-053F
23426,543217-2,1.389947,103.894168,8,RACKS,HDB,Y,SKG-037D
23427,750325-2,1.444549,103.818411,6,RACKS,HDB,Y,
23428,BUS STOP 68149,1.418228,103.862363,10,YELLOWBOX,,N,
23429,SEMBAWANG CLOSE BLOCK 335_YB,1.447456,103.814842,10,YELLOWBOX,,Y,SBW-010D
23430,650390-1,1.36529,103.752489,3,RACKS,HDB,Y,BKB-013E
23431,521148-2,1.350621,103.94189,8,RACKS,HDB,Y,TPN-0464
23432,650167-2,1.346997,103.74249,5,RACKS,HDB,Y,BKB-0091
23433,BUS STOP 58529,1.448174,103.832348,10,YELLOWBOX,,N,SBW-0237
23434,STRATHMORE AVENUE BLOCK 83_YB,1.294737,103.808239,9,YELLOWBOX,,Y,
23435,BUS STOP 22079,1.313985,103.707775,15,YELLOWBOX,,N,BLY-0001
23436,BUS STOP 71049,1.345987,103.89893,10,YELLOWBOX,,N,PYL-0014
23437,823302-1,1.404893,103.904829,3,RACKS,HDB,Y,PGL-03DF
23438,341108-1,1.334449,103.871828,12,RACKS,HDB,Y,TPY-0316
23439,792459_2,1.39379,103.869599,4,RACKS,HDB,Y,SKG-0699
23440,541124-1,1.388403,103.902426,4,RACKS,HDB,Y,SKG-0170
23441,BUS STOP 63091,1.353596,103.891353,10,YELLOWBOX,,N,HOG-0456
23442,OUR TAMPINES HUB_1,1.351986,103.94015,33,RACKS,PA,Y,TPN-000D
23443,WOODLANDS DRIVE 75 BLOCK 688A_YB,1.443072,103.807217,12,YELLOWBOX,,Y,WLS-0203
23444,541287-4,1.398025,103.895742,7,RACKS,HDB,Y,SKG-01DE
23445,CLEMENTI AVENUE 4 BLOCK 376_YB,1.318085,103.7667,6,YELLOWBOX,,Y,CMT-00C1
23446,731784-1,1.445467,103.805145,14,RACKS,HDB,Y,WLS-00F9
23447,751121-1,1.447589,103.833463,18,RACKS,HDB,Y,SBW-0086
23448,321105-3,1.320517,103.860567,4,RACKS,HDB,Y,KLG-0122
23449,GEYLANG EAST CENTRAL BLOCK 123_YB,1.31818,103.885485,6,YELLOWBOX,,Y,GYL-00B2
23450,520109-3,1.342716,103.950406,7,RACKS,HDB,Y,TPN-00A3
23451,730757-1,1.446296,103.79485,6,RACKS,HDB,Y,WLS-03EE
23452,CLEMENTI AVENUE 2 BLOCK 333_YB,1.315181,103.767166,6,YELLOWBOX,,Y,CMT-000E
23453,640536-1,1.349868,103.716652,3,RACKS,HDB,Y,JRW-024C
23454,390093-1,1.308838,103.887257,12,RACKS,HDB,N,GYL-0200
